"","Var1","Freq"
"1","AFP",29
"2","CRISP3",29
"3","TIMD4",29
"4","CD5L",28
"5","CD36",27
"6","PRG2",27
"7","PRG3",27
"8","CLEC4C",26
"9","HEPACAM2",26
"10","IL5RA",26
"11","PSAPL1",26
"12","ANGPT1",25
"13","CPXM1",25
"14","CR2",25
"15","CRH",25
"16","DSG4",25
"17","HBEGF",25
"18","KIT",25
"19","MLN",24
"20","NELL1",24
"21","SDC4",24
"22","SERPINE1",24
"23","SERPINI2",24
"24","CD22",23
"25","CPA1",23
"26","EDAR",23
"27","FASLG",23
"28","FCRL1",23
"29","NCR1",23
"30","EBI3_IL27",22
"31","IL15",22
"32","PDGFA",22
"33","PNLIPRP1",22
"34","SIGLEC6",22
"35","SMPDL3A",22
"36","TCL1A",22
"37","BDNF",21
"38","CCL28",21
"39","CSF1R",21
"40","CTRL",21
"41","GFRA3",21
"42","ICAM3",21
"43","MANSC1",21
"44","SMPD1",21
"45","TG",21
"46","APP",20
"47","CCN2",20
"48","CDSN",20
"49","DKK1",20
"50","GAL",20
"51","GAS6",20
"52","GPC1",20
"53","IL12B",20
"54","MET",20
"55","NID2",20
"56","PDGFB",20
"57","PRSS27",20
"58","SCGB3A2",20
"59","SPINT2",20
"60","THPO",20
"61","TIMP3",20
"62","TMPRSS5",20
"63","CD1C",19
"64","CEACAM6",19
"65","CELA2A",19
"66","DRAXIN",19
"67","FLT3LG",19
"68","LEG1",19
"69","LYPD3",19
"70","NAAA",19
"71","PLA2G1B",19
"72","PNLIP",19
"73","SEMA7A",19
"74","TNFSF12",19
"75","UMOD",19
"76","ASAH2",18
"77","CCER2",18
"78","CD163",18
"79","CD79B",18
"80","CES1",18
"81","CNTN3",18
"82","CTSV",18
"83","EGFL7",18
"84","ERBB4",18
"85","FCAMR",18
"86","FCRL2",18
"87","GPA33",18
"88","HMOX1",18
"89","HSBP1",18
"90","ITGB7",18
"91","LCN2",18
"92","MEP1B",18
"93","MERTK",18
"94","PLB1",18
"95","PPBP",18
"96","SCGB1A1",18
"97","XPNPEP2",18
"98","AGER",17
"99","BCAM",17
"100","BMP6",17
"101","BPIFA2",17
"102","CBLIF",17
"103","CD207",17
"104","CPB1",17
"105","CPVL",17
"106","CRISP2",17
"107","CTSL",17
"108","DCBLD2",17
"109","EPCAM",17
"110","FABP9",17
"111","FCRL5",17
"112","GP1BA",17
"113","GZMA",17
"114","HS6ST1",17
"115","IL12A_IL12B",17
"116","KEL",17
"117","LDLR",17
"118","LGMN",17
"119","MEGF10",17
"120","MEP1A",17
"121","NME3",17
"122","NPY",17
"123","PGLYRP1",17
"124","PLA2G10",17
"125","SHBG",17
"126","SPARC",17
"127","TNFRSF10C",17
"128","TNR",17
"129","TSHB",17
"130","ADA2",16
"131","BPIFB1",16
"132","CD244",16
"133","CR1",16
"134","CTRC",16
"135","CTSF",16
"136","FGFR4",16
"137","FOLR2",16
"138","FUT8",16
"139","ICAM4",16
"140","LY9",16
"141","MFGE8",16
"142","NELL2",16
"143","NPTX1",16
"144","PDCD1",16
"145","PTPRF",16
"146","SCGB3A1",16
"147","SIGLEC8",16
"148","SORT1",16
"149","TCN1",16
"150","TCTN3",16
"151","VCAN",16
"152","VEGFC",16
"153","WIF1",16
"154","AMIGO2",15
"155","B3GNT7",15
"156","BCHE",15
"157","CCL13",15
"158","CCL24",15
"159","CD300C",15
"160","CD40LG",15
"161","CELA3A",15
"162","CST5",15
"163","DMP1",15
"164","DSG3",15
"165","FCER2",15
"166","FUT3_FUT5",15
"167","GGH",15
"168","GUSB",15
"169","HYOU1",15
"170","KDR",15
"171","KITLG",15
"172","KLK1",15
"173","LRRC25",15
"174","MEPE",15
"175","MMP1",15
"176","MRC1",15
"177","NCAN",15
"178","PF4",15
"179","RETN",15
"180","RGMA",15
"181","SERPINE2",15
"182","SOST",15
"183","STAB2",15
"184","SUMF2",15
"185","THBD",15
"186","TPP1",15
"187","TPSAB1",15
"188","TREH",15
"189","WFDC12",15
"190","ACAN",14
"191","ADGRD1",14
"192","BPIFB2",14
"193","C1QA",14
"194","C4BPB",14
"195","CCL17",14
"196","CCN4",14
"197","CD160",14
"198","CD28",14
"199","CD300LG",14
"200","CD48",14
"201","CD63",14
"202","CD83",14
"203","CLEC10A",14
"204","CLEC4A",14
"205","COCH",14
"206","COL2A1",14
"207","CREG1",14
