Name,ID
A1BG_P04217_OID30771_v1_Inflammation_II.tar,syn52363617
AAMDC_Q9H7C9_OID30236_v1_Cardiometabolic_II.tar,syn52362400
AARSD1_Q9BTE6_OID21311_v1_Oncology.tar,syn51471562
ABCA2_Q9BZC7_OID30146_v1_Cardiometabolic_II.tar,syn52361344
ABHD14B_Q96IU4_OID20921_v1_Neurology.tar,syn51470065
ABL1_P00519_OID21280_v1_Oncology.tar,syn51468700
ABO_P16442_OID30675_v1_Inflammation_II.tar,syn52363597
ABRAXAS2_Q15018_OID30130_v1_Cardiometabolic_II.tar,syn52363381
ACAA1_P09110_OID21269_v1_Oncology.tar,syn51471196
ACADM_P11310_OID31277_v1_Oncology_II.tar,syn52361761
ACADSB_P45954_OID30356_v1_Cardiometabolic_II.tar,syn52361324
ACAN_P16112_OID20159_v1_Cardiometabolic.tar,syn51469712
ACE2_Q9BYF1_OID20105_v1_Cardiometabolic.tar,syn51470344
ACE_P12821_OID30696_v1_Inflammation_II.tar,syn52361489
ACHE_P22303_OID30585_v1_Inflammation_II.tar,syn52363069
ACOT13_Q9NPJ3_OID31522_v1_Oncology_II.tar,syn52362654
ACOX1_Q15067_OID20124_v1_Cardiometabolic.tar,syn51468701
ACP1_P24666_OID30524_v1_Inflammation_II.tar,syn52362464
ACP5_P13686_OID20314_v1_Cardiometabolic.tar,syn51470860
ACP6_Q9NPH0_OID21432_v1_Oncology.tar,syn51470643
ACRBP_Q8NEB7_OID31385_v1_Oncology_II.tar,syn52363610
ACRV1_P26436_OID30513_v1_Inflammation_II.tar,syn52361862
ACSL1_P33121_OID30080_v1_Cardiometabolic_II.tar,syn52361929
ACTA2_P62736_OID20079_v1_Cardiometabolic.tar,syn51469126
ACTN2_P35609_OID30192_v1_Cardiometabolic_II.tar,syn52363424
ACTN4_O43707_OID20435_v1_Inflammation.tar,syn51468905
ACVRL1_P37023_OID20999_v1_Neurology.tar,syn51468763
ACY1_Q03154_OID20137_v1_Cardiometabolic.tar,syn51470131
ACY3_Q96HD9_OID30086_v1_Cardiometabolic_II.tar,syn52361652
ACYP1_P07311_OID30642_v1_Inflammation_II.tar,syn52361955
ADA2_Q9NZK5_OID20394_v1_Cardiometabolic.tar,syn51469366
ADAM12_O43184_OID30491_v1_Inflammation_II.tar,syn52361300
ADAM15_Q13444_OID20109_v1_Cardiometabolic.tar,syn51470500
ADAM22_Q9P0K1_OID21001_v1_Neurology.tar,syn51470175
ADAM23_O75077_OID20651_v1_Inflammation.tar,syn51470197
ADAM8_P78325_OID21039_v1_Neurology.tar,syn51470522
ADAM9_Q13443_OID31488_v1_Oncology_II.tar,syn52361982
ADAMTS13_Q76LX8_OID20249_v1_Cardiometabolic.tar,syn51468611
ADAMTS15_Q8TE58_OID21275_v1_Oncology.tar,syn51468665
ADAMTS16_Q8TE57_OID20089_v1_Cardiometabolic.tar,syn51469537
ADAMTS1_Q9UHI8_OID30528_v1_Inflammation_II.tar,syn52363242
ADAMTS4_O75173_OID30471_v1_Inflammation_II.tar,syn52362436
ADAMTS8_Q9UP79_OID21502_v1_Oncology.tar,syn51471347
ADAMTSL2_Q86TH1_OID30370_v1_Cardiometabolic_II.tar,syn52362101
ADAMTSL4_Q6UY14_OID30275_v1_Cardiometabolic_II.tar,syn52363103
ADAMTSL5_Q6ZMM2_OID30355_v1_Cardiometabolic_II.tar,syn52361277
ADA_P00813_OID20645_v1_Inflammation.tar,syn51470111
ADCYAP1R1_P41586_OID21188_v1_Oncology.tar,syn51471394
ADD1_P35611_OID30655_v1_Inflammation_II.tar,syn52363487
ADGRB3_O60242_OID20974_v1_Neurology.tar,syn51470778
ADGRD1_Q6QNK2_OID30588_v1_Inflammation_II.tar,syn52363168
ADGRE1_Q14246_OID31483_v1_Oncology_II.tar,syn52361743
ADGRE2_Q9UHX3_OID20755_v1_Inflammation.tar,syn51469551
ADGRE5_P48960_OID20260_v1_Cardiometabolic.tar,syn51468421
ADGRF5_Q8IZF2_OID30349_v1_Cardiometabolic_II.tar,syn52363153
ADGRG1_Q9Y653_OID21294_v1_Oncology.tar,syn51469563
ADGRG2_Q8IZP9_OID20189_v1_Cardiometabolic.tar,syn51471240
ADGRV1_Q8WXG9_OID30877_v1_Neurology_II.tar,syn52363377
ADH1B_P00325_OID30612_v1_Inflammation_II.tar,syn52362389
ADH4_P08319_OID20117_v1_Cardiometabolic.tar,syn51471289
ADIPOQ_Q15848_OID30748_v1_Inflammation_II.tar,syn52362649
ADM_P35318_OID21467_v1_Oncology.tar,syn51468664
ADRA2A_P08913_OID30067_v1_Cardiometabolic_II.tar,syn52361689
AFAP1_Q8N556_OID30569_v1_Inflammation_II.tar,syn52363491
AFM_P43652_OID30741_v1_Inflammation_II.tar,syn52361876
AFP_P02771_OID20978_v1_Neurology.tar,syn51470299
AGBL2_Q5U5Z8_OID30793_v1_Neurology_II.tar,syn52361900
AGER_Q15109_OID20756_v1_Inflammation.tar,syn51468798
AGR2_O95994_OID20896_v1_Neurology.tar,syn51471222
AGR3_Q8TD06_OID21243_v1_Oncology.tar,syn51469645
AGRN_O00468_OID20786_v1_Inflammation.tar,syn51468633
AGRP_O00253_OID20658_v1_Inflammation.tar,syn51471023
AGT_P01019_OID30709_v1_Inflammation_II.tar,syn52363066
